peid,pnombre,nacionalidad,nro_pasaporte,edad,genero,bid,es_capitan
0,Oswaldo Zedillo,SALVADOREÑA,N22415818,73,hombre,120,0
1,Aldo Ibarra,SALVADOREÑA,S96030318,32,mujer,9,0
2,Micaela Padron,ITALIANA,R99245213,69,mujer,10,0
3,Manuel Castro,ARGENTINA,M17084370,27,mujer,28,0
4,Alicia Cristal Ocasio Ramirez,SALVADOREÑA,L37265580,42,mujer,216,0
5,Rosario Arce Montaño,GUYANESA,F96333768,34,hombre,224,0
6,Flavio Aguirre,YUGOSLAVA,G86572171,44,mujer,239,0
7,Cristal Gaona Vazquez,LIBIA,E99654323,60,hombre,181,1
8,Itzel Madrid Tello,BIRMANA,O26876875,89,mujer,209,1
9,Nancy Perales,GUINEA,E21346302,19,hombre,23,0
10,Eugenio Villanueva,TURCA,I59647599,23,mujer,123,1
11,Jose Maria Varela,GAMBIANA,S86623127,46,hombre,94,0
12,Ignacio Almanza Velasquez,SINGAPORENSE,W43342581,22,mujer,196,0
13,Lourdes Mendez,TANZANIANA,O49324787,87,mujer,21,0
14,Nayeli Bernardo Tamez Calderon,ESTADOUNIDENSE,Z12618001,91,hombre,110,0
15,Emiliano Gerardo Muñoz,AUSTRALIANA,S67099414,99,hombre,63,0
16,Horacio Graciela Quesada,ZAMBIANA,H93386941,70,mujer,71,0
17,Sofia Monica Mayorga,SOVIETICA UCRANIANA,W70014015,69,hombre,240,0
18,Carla Jaramillo Garibay,SUDAFRICANA,U56669457,68,hombre,97,0
19,Estela Marroquin Ortiz,ALEMANA,F44457948,98,mujer,129,1
20,Ilse Alejandra Bustos,NIGERINA,O42187583,54,mujer,30,0
21,Minerva Barrios Concepcion,AUSTRALIANA,E20392152,68,mujer,91,0
22,Elisa Cortez,ISRAELI,G85401525,73,mujer,20,0
23,Juan Carlos Uriel Romero,BURKINA FASO,F54286063,38,hombre,117,1
24,Ariadna Gaona Ledesma,TUNECINA,L20402492,93,hombre,49,0
25,Susana Caldera,GUINEA,Y67957951,74,mujer,68,0
26,Estefania Ocampo Raya,ZAMBIANA,T64786536,41,mujer,57,0
27,Augusto Carlos Gallardo,INDONESA,L16315884,31,mujer,20,0
28,Jose Luis Karla Valverde,KIRGUISTAN,A41577310,26,hombre,72,0
29,Maria Jose Perales,ISRAELI,I91362274,96,mujer,66,0
30,Ofelia Navarro Davila,BHUTANESA,Z44372972,68,hombre,6,1
31,Lucia Palomo Olivera,NAMIBIANA,J50508589,35,hombre,118,1
32,Emilio Asuncion Luevano,LIBANESA,K52943396,91,mujer,148,0
33,Soledad Beltran,PORTUGUESA,L81362177,47,hombre,86,0
34,Dulce Omar Rivas,GUINEA,O65003049,67,mujer,25,0
35,Felix Hernandes,BULGARA,G94389129,26,mujer,121,0
36,Maria Teresa Samuel Segovia,RWANDESA,U87952200,82,hombre,221,0
37,Ricardo Julia Archuleta,GABONESA,T60754009,37,mujer,114,0
38,Liliana Juan Carlos Padron,ESTONIA,O63088677,68,hombre,86,0
39,Isabel Estefania Olmos Cordero,GUINEA ECUATORIANA,X35740583,16,mujer,110,0
40,Isabela Gil Espinosa,TANZANIANA,P90936714,40,hombre,162,0
41,Isaac Armas Tejada,OMANESA,S90584294,59,hombre,189,0
42,Pilar Meraz Reynoso,ITALIANA,E98870300,65,hombre,112,0
43,Bruno Indira Olivas Galvon,LITUANIA ,J48004489,64,mujer,54,0
44,Victoria Jorge Arredondo Madrigal,AUSTRIACA,N34722023,28,mujer,138,0
45,Irene Villagomez Velazquez,CHIPRIOTA,B33581793,76,hombre,36,0
46,Sessa Ordoñez,COLOMBIANA,I26539190,61,hombre,145,0
47,Ana Noelia Barrios,KENIANA,Y82472204,20,mujer,156,1
48,Jesus Henriquez,SURINAMENSE,W96255468,65,mujer,97,0
49,Sergio Gil,HAITIANA,Q28903565,65,hombre,167,0
50,Augusto Cordero Jasso,SWAZI,D12747000,64,hombre,98,0
51,Jose Eduardo Javier Casillas,REINO UNIDO,D84811007,51,hombre,130,0
52,Mercedes Martinez,NAMIBIANA,A59785418,86,hombre,58,0
53,Rosalia Rocio Vazquez Granados,GUYANESA,Q42575194,55,hombre,210,0
54,Santiago Guillen Esquibel,BURUNDESA,D26597294,21,mujer,172,0
55,Augusto Margarita Crespo,SUIZA,S70684322,18,hombre,178,0
56,Modesto Lucero Luna,ESTONIA,Z12327276,28,mujer,239,1
57,Maria del Carmen Rodolfo Blanco Romo,BOLIVIANA,T55227978,71,hombre,153,0
58,Adan Gilberto Lomeli Escobar,DE SANTO TOME,Z25809531,54,mujer,179,0
59,Juan Carlos Carvajal Zamora,TUNECINA,Q79731575,51,mujer,177,0
60,Natalia Delgadillo Robledo,SAN MARINENSE,S87281990,49,hombre,30,0
61,Ruben Mora,PAPUENSE,B52410712,73,mujer,91,0
62,Ana Acevedo Munguia,MALDIVA,Q17998243,29,hombre,89,0
63,Zeferino Sofia Ortega,AMERICANA,G70427042,60,mujer,34,0
64,Mateo Claudio Leiva Valle,ZAMBIANA,P21702655,14,hombre,24,1
65,Maria Eugenia Robledo Arteaga,GRANADINA,Z57372798,56,mujer,189,0
66,Jose Manuel Olga Perales,PAPUENSE,E67387779,13,mujer,229,0
67,Yolanda Blanco,TRINITARIA,B95281165,30,mujer,148,1
68,Dulce Maria Salvador Escamilla,PARAGUAYA,H65186003,54,hombre,121,0
69,Ana Mesa,DE SANTO TOME,S99817979,22,hombre,48,0
70,Genaro Valentin,SUIZA,Q77360488,30,hombre,144,0
71,Tomas Valdez Serrano,TUNECINA,F55163262,67,hombre,30,0
72,Clara Zavala,SINGAPORENSE,E72768513,41,hombre,104,0
73,Benito Heredia Leal,SIRIA,H68808611,13,hombre,42,0
74,Reina Jose Carlos Espino Riojas,INDONESA,N62020387,52,hombre,237,0
75,Maria Elena Ana Aguilera Aparicio,PARAGUAYA,T81315126,94,hombre,64,0
76,Abelardo Linares,MOZAMBIQUEÑA,J33065404,23,mujer,196,0
77,Anabel Emilia Zamora avalos,PANAMEÑA,T24679589,36,mujer,216,0
78,Rocio Gurule,NICARAGUENSE,S48630929,44,hombre,232,0
79,Flavio Paulina Vasquez Ybarra,ZAIRANA,J52410570,96,hombre,236,0
80,Jos Zavala Salazar,ZAIRANA,W88696841,16,mujer,57,0
81,Lorenzo Soto,BURKINA FASO,H35385767,39,hombre,99,0
82,Alfonso German Baez Moreno,SIERRA LEONESA,X66726406,22,mujer,242,0
83,Felipe del Valle,REINO UNIDO,T49144954,74,hombre,90,0
84,Octavio Caballero,CHILENA,Y28920946,94,mujer,25,0
85,Humberto Carreón,SIERRA LEONESA,S11772990,65,mujer,33,0
86,Hugo Jose Manuel Aguilera Olvera,PORTUGUESA,G24272216,21,hombre,227,0
87,Ivonne Montenegro,NIGERINA,J64594612,85,hombre,206,1
88,Nadia Cedillo,NAURUANA,D29290177,57,mujer,200,0
89,Elena Estrada,JORDANA,Y97685445,92,mujer,40,0
90,Laura Ramon,MALDIVA,M29889337,65,hombre,238,1
91,Rosario Gregorio Godoy Jaimes,HINDU,V37562483,77,mujer,73,1
92,Susana Miramontes,AMERICANA,K71932185,94,hombre,102,0
93,Ana Luisa Delgado,SWAZI,U52204644,33,hombre,124,0
94,Enrique Tamez,SAN MARINENSE,J23831554,78,mujer,113,0
95,Diana Martha Menchaca,TOGOLESA,X77004626,13,mujer,234,0
96,Julio Genaro Alfaro Ojeda,BELICEÑA,E52952269,77,hombre,12,0
97,Ivan Aviles de Jesus,CONGOLESA,X63993476,96,mujer,1,0
98,Claudio Joaquin Porras,ARGELIANA,V53428041,50,mujer,166,0
99,Victoria Maria Teresa Chapa,HONDUREÑA,I67168870,81,hombre,234,0
100,Abril Luisa Yañez Hinojosa,ZAMBIANA,T77399897,93,hombre,17,0
101,Horacio Mercado,CHECOSLOVACA,I19030976,24,mujer,223,0
102,Aurora Jaquez,BAHAMEÑA,V19318115,99,mujer,226,0
103,Alta  Gracia Corona,LIBANESA,K98008674,40,mujer,112,0
104,Ruby Soria,GRIEGA,A32966457,20,hombre,33,0
